party,candidate_number,candidate_name,votes
,15,"Delsen, A.A.",30
,16,"Thijs, H.K.A.P.",40
,17,"Anamoah, R.",179
,18,"van der Weide, K.E.",43
,19,"Kuiper, A.C.E.",113
,20,"Offenberg, C.I.",194
,21,"Jurrema, F.R.",25
,22,"Kwint, J.P.",106
,23,"Alkaya, M.O.",180
,24,"Flentge, E.A.",46
,25,"van Raak, A.A.G.M.",173
6 Partij voor de Dieren,1,"van Lammeren, J.F.W.",9351
,2,"Bakker, A.L.",5589
,3,"Bloemberg - Issa, J.F.",1721
,4,"Krom, J.M.",1014
,5,"Emmerik, M.J.",128
,6,"Jonk, C.A.M.",581
,7,"Schellingerhout, R.B.A.",131
,8,"Didderen, T.",608
,9,"de Vos, D.J.C.",259
,10,"Shahbazi, N.",1082
,11,"Meerburg, M.",69
,12,"Polderman, L.M.L.",254
,13,"van Schaijck, M.R.W.",93
,14,"Janmaat, I.",64
,15,"van der Meer, E.E.",259
,16,"Peschier, E.S.",35
,17,"van Dijk - Armor, M.M.",85
,18,"Broersen, L.M.",66
,19,"Dicke, I.M.",114
,20,"van der Waaij, J.",13
,21,"Mannoesingh, J.K.P.",153
,22,"Boogaard, H.",110
,23,"Prast, H.M.",90
,24,"NicolaÃ¯, P",51
,25,"van Raan, L.",111
7 DENK,1,"Khan, S.Y.",2524
,2,"Koyuncu, S.",3376
,3,"El Johari, A.",1301
,4,"Carrilho, I.L.E.",462
,5,"Alkaduhimi, M.",387
,6,"Mangal, E.S.J.",107
,7,"Yacoubi, A.",470
,8,"Ghazi, M.I.",439
,9,"Aboelkasem, E.",422
,10,"Ihammanen, A.",101
,11,"Askkali, Y.",220
,12,"Hakiki, F.",570
,13,"GÃ¼n, E",175
,14,"Amraoui, A.",512
,15,"Kuzu, T.",1973
8 Forum voor Democratie,1,"van Schijndel, A.H.J.W.",3057
,2,"de Keijzer, R.A.",443
,3,"Bilgin, T.",229
,4,"van Haarlem, C.R.O.",100
,5,"Voskamp, H.B.",41
,6,"van der Heul, B.B.",23
,7,"Splinter, B.",142
,8,"Zentveld, E.",85
,9,"Meijer, W.",215
,10,"Noordman, J.J.",29
,11,"Koopman, P.",16
,12,"van Tilborg, B.A.",33
