track_name,artist(s)_name,released_date (yyyy-mm),streams
Good Days,SZA,2020-12,826623384
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020-3,1802514301
Woman,Doja Cat,2021-6,1329090101
Shut up My Moms Calling - (Sped Up),Hotel Ugly,2022-9,181831132
Ferrari,"James Hype, Miggy Dela Rosa",2022-3,462791599
"You're On Your Own, Kid",Taylor Swift,2022-10,348647203
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",2022-7,366599607
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",1930-1,90598517
Payphone,"Maroon 5, Wiz Khalifa",2012-1,1479264469
All I Want for Christmas Is You,Mariah Carey,1994-10,1449779435
Last Christmas,Wham!,1984-1,1159176109
Rockin' Around The Christmas Tree,Brenda Lee,1958-1,769213520
Jingle Bell Rock,Bobby Helms,1957-1,741301563
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,2011-10,807561936
Santa Tell Me,Ariana Grande,2013-12,834129063
It's the Most Wonderful Time of the Year,Andy Williams,1963-10,663832097
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1959-11,446390129
Snowman,Sia,2017-1,690104769
Underneath the Tree,Kelly Clarkson,2013-10,485285717
Feliz Navidad,Josï¿½ï¿½ Felic,1970-11,520034544
Holly Jolly Christmas,Michael Bublï¿,2011-10,476244795
Mistletoe,Justin Bieber,2011-1,629173063
Sleigh Ride,The Ronettes,1963-11,404664135
Seek & Destroy,SZA,2022-12,98709329
Love Language,SZA,2022-12,110849052
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",1971-12,460492795
Used (feat. Don Toliver),"SZA, Don Toliver",2022-12,94005786
A Holly Jolly Christmas - Single Version,Burl Ives,1952-1,395591396
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1946-11,389771964
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1979-11,403939487
Do They Know It's Christmas? - 1984 Version,Band Aid,1984-11,481697415
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2022-12,110073250
Special,SZA,2022-12,88092256
Merry Christmas Everyone,Shakin' Stevens,1984-1,351636786
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",1950-1,473248298
SOS,SZA,2022-12,73981293
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022-12,155653938
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",1942-1,395591396
Driving Home for Christmas - 2019 Remaster,Chris Rea,1986-1,429504768
Christmas (Baby Please Come Home),Darlene Love,1963-11,242767149
Gone Girl,SZA,2022-12,65362788
F2F,SZA,2022-12,67540165
Notice Me,SZA,2022-12,62019074
Merry Christmas,"Ed Sheeran, Elton John",2017-11,135723538
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",1958-1,295998468
My Only Wish (This Year),Britney Spears,2000-11,261116938
Antidepresan,"Mabel Matiz, Mert Demir",2022-11,136689549
Wild Flower (with youjeen),RM,2022-12,135611421
I Hate U,SZA,2021-12,356709897
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2022-12,110649992
SPIT IN MY FACE!,ThxSoMch,2022-10,301869854
Deck The Hall - Remastered 1999,Nat King Cole,1959-1,127027715
Smoking on my Ex Pack,SZA,2022-12,57144458
Conceited,SZA,2022-12,56870689
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2022-10,323437194
Maroon,Taylor Swift,2022-10,317726339
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",2022-9,116144341
Bejeweled,Taylor Swift,2022-10,328207708
Tarot,"Bad Bunny, Jhay Cortez",2022-5,608228647
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2005-9,180577478
Desesperados,"Chencho Corleone, Rauw Alejandro",2021-6,809306935
Too Late,SZA,2022-12,49262961
Party,"Bad Bunny, Rauw Alejandro",2022-5,614555082
Run Rudolph Run - Single Version,Chuck Berry,1958-1,245350949
Jingle Bells - Remastered 1999,Frank Sinatra,1957-1,178660459
Far,SZA,2022-12,51641685
On Time (with John Legend),"John Legend, Metro Boomin",2022-12,78139948
GATï¿½ï¿½,"Maldy, Karol G",2022-8,322336177
ýýýabcdefu,Gayle,2021-8,1007612429
Sacrifice,The Weeknd,2022-1,326792833
Is There Someone Else?,The Weeknd,2022-1,391251368
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",2022-1,349585590
Out of Time,The Weeknd,2022-1,339659802
Do It To It,"Cherish, ACRAZE",2021-8,674772936
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",2021-11,432719968
Pepas,Farruko,2021-6,1309887447
How Do I Make You Love Me?,The Weeknd,2022-1,119238316
Gasoline,The Weeknd,2022-1,116903579
Infinity,Jaymes Young,2017-6,888046992
Less Than Zero,The Weeknd,2022-1,200660871
Take My Breath,The Weeknd,2021-8,130655803
good 4 u,Olivia Rodrigo,2021-5,1887039593
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",2022-1,88103848
Best Friends,The Weeknd,2022-1,101114984
Kiss Me More (feat. SZA),"SZA, Doja Cat",2021-4,1575467011
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2022-1,91656026
Need To Know,Doja Cat,2021-6,1042568408
MONTERO (Call Me By Your Name),Lil Nas X,2020-9,1735441776
love nwantiti (ah ah ah),Ckay,2019-7,726837877
Dawn FM,The Weeknd,2022-1,53933526
Surface Pressure,Jessica Darrow,2021-11,267758538
Starry Eyes,The Weeknd,2022-1,74601456
THATS WHAT I WANT,Lil Nas X,2021-9,920797189
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2021-11,539595276
Beggin,Mï¿½ï¿½ne,2017-12,1367810478
Mon Amour - Remix,"Aitana, zzoilo",2020-9,578207856
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",2021-10,775542072
MONEY,Lisa,2021-9,863625566
The Motto,"Tiï¿½ï¿½sto, Ava",2021-11,656013912
Happier Than Ever,Billie Eilish,2021-7,1056760045
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2021-10,611994237
traitor,"Juan Cruz Toledo, Huilen Toledo",2021-5,1230855859
Toxic,BoyWithUke,2021-9,582981380
drivers license,Olivia Rodrigo,2021-1,1858144199
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",2021-11,240684449
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021-11,583687007
Donï¿½ï¿½ï¿½t Break My,The Weeknd,2022-1,63803529
Oh My God,Adele,2021-11,466214729
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",2022-1,236940480
A Tale By Quincy,The Weeknd,2022-1,41924466
I AM WOMAN,Emmy Meli,2021-11,225259194
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",2021-10,393230256
It'll Be Okay,Shawn Mendes,2021-12,287201015
Softcore,The Neighbourhood,2018-3,599770206
Super Gremlin,Kodak Black,2021-10,342779426
Volvï¿,"Aventura, Bad Bunny",2021-8,673801126
Todo De Ti,Rauw Alejandro,2020-11,1168642797
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",2019-8,540539717
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-11,383550148
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",2020-3,530511203
Every Angel is Terrifying,The Weeknd,2022-1,37307967
Tacones Rojos,Sebastian Yatra,2021-10,510876816
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",2021-3,1445941661
Dakiti,"Bad Bunny, Jhay Cortez",2020-10,1763363713
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2021-12,374191487
Lï¿½ï¿½ï¿,Stromae,2022-1,108809090
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",2021-9,436695353
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",2021-9,421040617
Life Goes On,Oliver Tree,2020-7,501541661
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",2021-9,354065229
Butter,BTS,2021-5,1143647827
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",2022-1,311395144
You Right,"Doja Cat, The Weeknd",2021-6,672656250
deja vu,Olivia Rodrigo,2021-4,1256880657
Dynamite,BTS,2020-8,1692897992
TO THE MOON,Jnr Choi,2021-11,245095641
Lost in the Fire,"The Weeknd, Gesaffelstein",2019-1,686734357
Salimo de Noche,"Trueno, Tiago pzk",2021-10,261414174
Volando - Remix,"Sech, Bad Bunny, Mora",2021-7,610045621
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-3,1115880852
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",2021-9,594482982
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2021-8,566954746
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2021-11,374706940
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",2021-11,184937148
Phantom Regret by Jim,The Weeknd,2022-1,31959571
Dos Oruguitas,Sebastian Yatra,2021-11,167076418
Freaks,Surf Curse,2015-5,824420218
Acapulco,Jason Derulo,2021-9,363467642
Daddy Issues,The Neighbourhood,2015-10,1127468248
thought i was playing,"21 Savage, Gunna",2022-1,60680939
ELEVEN,IVE,2021-12,247737946
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2020-7,1699402402
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2021-11,154797871
DANCE CRIP,Trueno,2021-11,198883004
Miserable Man,David Kushner,2022-1,124407432
happier,Olivia Rodrigo,2021-5,850608354
Praise God,Kanye West,2021-8,376333030
Get Into It (Yuh),Doja Cat,2021-6,516784627
Before You Go,Lewis Capaldi,2019-11,1608045237
Sky,Playboi Carti,2020-12,506778838
Rolling in the Deep,Adele,2010-11,1472799873
Sobrio,Maluma,2021-7,513643924
Peru,"Ed Sheeran, Fireboy DML",2021-12,261286503
favorite crime,Olivia Rodrigo,2021-5,783706581
Thunder,"Prezioso, Gabry Ponte, LUM!X",2021-5,422691058
The Business,Tiï¿½ï¿,2020-1,1062345656
positions,Ariana Grande,2020-10,1252563873
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,2021-3,851070493
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2021-10,263894529
The Feels,TWICE,2021-10,345903614
HEARTBREAK ANNIVERSARY,Giveon,2020-2,951637566
No Lie,"Sean Paul, Dua Lipa",2016-11,956865266
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",2021-8,427486004
Pope Is a Rockstar,SALES,2016-4,156658366
2055,Sleepy hallow,2021-4,624515457
Bored,Billie Eilish,2017-3,777765388
Happier Than Ever - Edit,Billie Eilish,2021-7,412795151
Astronaut In The Ocean,Masked Wolf,2019-1,1138474110
Ley Seca,"Anuel Aa, Jhay Cortez",2021-9,355219175
Every Summertime,NIKI,2021-8,290228626
Talking To The Moon,Bruno Mars,2010-10,1062956628
you broke me first,Tate McRae,2020-4,1180094974
The Nights,Avicii,2014-1,1456081449
Take My Breath,The Weeknd,2021-8,432702334
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",2021-9,489945871
Cï¿½ï¿½,Rauw Alejandro,2021-6,465959382
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",2021-10,1223481149
Dance Monkey,Tones and I,2019-5,2864791672
Lucid Dreams,Juice WRLD,2017-6,2288695111
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2021-1,720825549
All of Me,John Legend,2013-8,2086124197
Smells Like Teen Spirit - Remastered 2021,Nirvana,1991-9,1690192927
Arcade,Duncan Laurence,2019-3,991336132
Fair Trade (with Travis Scott),"Drake, Travis Scott",2021-9,593917618
Bar,"Tini, L-Gante",2021-11,200972675
The Rumbling (TV Size),SiM,2022-1,71014967
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2021-8,560222750
Mr. Brightside,The Killers,2003-9,1806617704
Blessed-Cursed,ENHYPEN,2022-1,77337771
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",2021-6,528544703
Streets,Doja Cat,2019-11,865640097
Shallow,"Lady Gaga, Bradley Cooper",2018-9,2159346687
Polaroid Love,ENHYPEN,2022-1,211372494
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2021-4,651732901
Permission to Dance,BTS,2021-7,608334048
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",2021-1,863756573
RAPSTAR,Polo G,2021-4,797402345
'Till I Collapse,"Eminem, Nate Dogg",2002-5,1695712020
Memories,Maroon 5,2019-9,1759567999
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",2021-8,223319934
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2022-1,54937991
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2021-12,226897599
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2021-10,258316038
Miï¿½ï¿½n,"Tini, Maria Becerra",2021-4,596152090
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",2021-11,177129919
MAMIII,"Karol G, Becky G",2022-2,716591492
Still D.R.E.,"Dr. Dre, Snoop Dogg",1999-1,1210599487
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-2,246376690
Boyfriend,Dove Cameron,2022-2,496311364
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2022-2,146789379
The Next Episode,"Dr. Dre, Snoop Dogg",1999-1,843309044
Light Switch,Charlie Puth,2022-1,500340342
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",2022-2,107255472
Brividi,"Mahmood, Blanco",2022-2,135079152
Lost,Frank Ocean,2012-1,822239726
In Da Club,50 Cent,2002-1,1202722675
she's all i wanna be,Tate McRae,2022-2,343197054
Ginseng Strip 2002,Yung Lean,2013-8,240769997
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2019-8,426204830
Notion,The Rare Occasions,2016-8,421135627
Formula,Labrinth,2019-10,554875730
Mount Everest,Labrinth,2019-6,467727006
Excuses,"Intense, AP Dhillon, Gurinder Gill",2020-7,327498031
Cigarettes,Juice WRLD,2021-12,185408548
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",2022-1,245400167
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",1995-12,579395142
Forgot About Dre,"Eminem, Dr. Dre",1999-1,675039469
Down Under (feat. Colin Hay),"Luude, Colin Hay",2021-11,252871192
Mujeriego,Ryan Castro,2021-12,231996128
HUMBLE.,Kendrick Lamar,2017-3,1929770265
Stan,"Eminem, Dido",1999-11,918915401
Contection,"GODZZ__-, Zakaria",2020-1,1180896317
Swim,Chase Atlantic,2017-10,498960285
A Tu Merced,Bad Bunny,2020-2,685071800
Numb Little Bug,Em Beihold,2022-1,258714692
212,"Mainstreet, Chefin",2022-1,143139338
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2021-10,209768491
Bussin,"Nicki Minaj, Lil Baby",2022-2,64714573
Worst Day,Future,2022-2,50746620
Malvada,Zï¿½ï¿½ Fe,2022-1,154119539
Hrs and Hrs,Muni Long,2021-11,181328253
Alien Blues,Vundabar,2015-7,370068639
Thinking Out Loud,Ed Sheeran,2014-1,2280566092
Still Don't Know My Name,Labrinth,2019-10,563902868
Christmas Tree,V,2021-12,317622165
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2022-1,291709698
When I R.I.P.,Labrinth,2019-10,203680270
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2022-2,81350745
Forever,Labrinth,2019-10,282883169
Gospel (with Eminem),"Eminem, Dr. Dre",2022-2,64787943
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2019-6,2484812918
NEW MAGIC WAND,"Tyler, The Creator",2019-5,461437791
Adore You,Harry Styles,2019-12,1439191367
La Santa,"Daddy Yankee, Bad Bunny",2020-2,759208783
Something In The Way - Remastered 2021,Nirvana,1991-9,368646862
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2022-3,299634472
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2022-3,756907987
Una Noche en Medellï¿½,Cris Mj,2022-1,682475162
Envolver,Anitta,2021-11,546191065
Starlight,Dave,2022-3,229473310
Hati-Hati di Jalan,Tulus,2022-3,202677468
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,2022-2,121913181
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2022-2,208166039
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004-5,527033089
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2022-3,94616487
Jordan,Ryan Castro,2021-4,394030335
Nail Tech,Jack Harlow,2022-2,193443895
Chale,Eden Muï¿½ï,2022-2,299648208
DARARI,Treasure,2022-2,182978249
Ya No Somos Ni Seremos,Christian Nodal,2022-2,319757142
Thinking with My Dick,"Kevin Gates, Juicy J",2013-7,109091573
Freaky Deaky,"Tyga, Doja Cat",2022-2,153240879
this is what falling in love feels like,JVKE,2021-9,346127840
La Zona,Bad Bunny,2020-2,312622938
Bohemian Rhapsody - Remastered 2011,Queen,1975-10,2197010679
Hope,XXXTENTACION,2018-3,1200808494
Levitating,Dua Lipa,2020-3,797196073
Wake Me Up - Radio Edit,Avicii,2013-1,1970673297
"jealousy, jealousy",Olivia Rodrigo,2021-5,665765558
Monï¿½ï¿½y so,YEAT,2021-9,263779030
Demasiadas Mujeres,C. Tangana,2020-10,339473453
Something Just Like This,"The Chainsmokers, Coldplay",2017-2,2204080728
Closer,"The Chainsmokers, Halsey",2016-5,2591224264
O.O,NMIXX,2022-2,135444283
Somebody That I Used To Know,"Gotye, Kimbra",2011-1,1457139296
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2019-6,236872197
First Class,Jack Harlow,2022-4,694525298
Plan A,Paulo Londra,2022-3,240661097
Fuera del mercado,Danny Ocean,2022-2,421365166
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2022-3,349746291
When You're Gone,Shawn Mendes,2022-3,255120451
In My Head,Lil Tjay,2022-4,190981339
Wait a Minute!,Willow,2015-1,924193303
LOVE DIVE,IVE,2022-4,305771063
Pantysito,"Feid, Alejo, Robi",2022-3,273005485
Chance,Paulo Londra,2022-4,89566512
Cool for the Summer,Demi Lovato,2015-1,677389855
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2022-4,75476209
Angel Baby,Troye Sivan,2021-9,408843328
Vampiro,"Matuï¿½ï¿½, Wiu, ",2022-1,187772591
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",2022-3,178512385
Right On,Lil Baby,2022-4,101780047
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",2022-3,118381354
That's Hilarious,Charlie Puth,2022-4,146363130
Soy El Unico,Yahritza Y Su Esencia,2022-3,126443991
RUMBATï¿½,Daddy Yankee,2022-3,157990698
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",2022-3,176290831
Falling,Harry Styles,2019-12,1023187129
Sigue,"Ed Sheeran, J Balvin",1996-11,106933107
Fim de Semana no Rio,teto,2022-3,139193812
MANIAC,Stray Kids,2022-3,212234990
There's Nothing Holdin' Me Back,Shawn Mendes,2016-9,1714490998
IDGAF (with blackbear),"Blackbear, BoyWithUke",2022-3,197643795
Golden,Harry Styles,2019-12,807015863
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",2013-1,933815613
Ain't Shit,Doja Cat,2021-6,499710590
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",2022-2,120847157
Still Life,BIGBANG,2022-4,53909146
Photograph,Ed Sheeran,2014-6,2236667932
Love Yourself,Justin Bieber,2015-11,2123309722
N95,Kendrick Lamar,2022-5,301242089
About Damn Time,Lizzo,2022-4,723894473
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",2022-5,237351106
Despuï¿½ï¿½s de la P,Bad Bunny,2022-5,461558540
Un Ratito,Bad Bunny,2022-5,417230415
United In Grief,Kendrick Lamar,2022-5,156898322
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2022-5,127309180
Yo No Soy Celoso,Bad Bunny,2022-5,313113297
Rich Spirit,Kendrick Lamar,2022-5,173702135
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2022-5,271666301
Me Fui de Vacaciones,Bad Bunny,2022-5,305650299
Silent Hill,"Kendrick Lamar, Kodak Black",2022-5,123216717
La Corriente,"Tony Dize, Bad Bunny",2022-5,479655659
Count Me Out,Kendrick Lamar,2022-5,126191104
Andrea,"Buscabulla, Bad Bunny",2022-5,344055883
Dos Mil 16,Bad Bunny,2022-5,338422004
We Cry Together,"Kendrick Lamar, Taylour Paige",2022-5,68895644
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",2022-5,86176890
Un Coco,Bad Bunny,2022-5,403231558
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2022-5,319546754
Worldwide Steppers,Kendrick Lamar,2022-5,61739839
Aguacero,Bad Bunny,2022-5,283359161
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",2022-5,76831876
Un Verano Sin Ti,Bad Bunny,2022-5,283332261
ULTRA SOLO,"Polima WestCoast, Pailita",2022-2,307752576
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,2022-5,279737940
El Apagï¿½,Bad Bunny,2022-5,212351890
Callaita,"Bad Bunny, Tainy",2019-5,1304313953
Dua Lipa,Jack Harlow,2022-5,150500965
Agosto,Bad Bunny,2022-5,246127838
House Of Memories,Panic! At The Disco,2016-1,582863434
Mr. Morale,"Kendrick Lamar, Tanna Leone",2022-5,58687425
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2022-4,212109195
In The Stars,Benson Boone,2022-4,382199619
Rich - Interlude,Kendrick Lamar,2022-5,41210087
SUPERMODEL,Mï¿½ï¿½ne,2022-5,231657891
Stefania (Kalush Orchestra),KALUSH,2022-3,53729194
Thousand Miles,The Kid Laroi,2022-4,244741137
Crown,Kendrick Lamar,2022-5,42485571
Auntie Diaries,Kendrick Lamar,2022-5,37778188
PUFFIN ON ZOOTIEZ,Future,2022-4,254218729
Mirror,Kendrick Lamar,2022-5,53603447
Beautiful Girl,Luciano,2022-4,160035717
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2022-4,164163229
Savior - Interlude,Kendrick Lamar,2022-5,37091576
Pasoori,"Shae Gill, Ali Sethi",2022-2,284249832
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2022-5,33381454
TUS Lï¿½ï¿½GR,"Sech, Mora",2022-4,184622518
Where Did You Go?,"MNEK, Jax Jones",2022-1,300983101
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2022-5,121077868
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2022-4,106919680
ZOOM,Jessi,2022-4,136996305
SloMo,Chanel,2021-12,65719930
FEARLESS,LE SSERAFIM,2022-5,229497852
10 Things I Hate About You,Leah Kate,2022-3,185550869
SPACE MAN,Sam Ryder,2022-2,54682594
With you,"HA SUNG WOON, Jimin",2022-4,240580042
Iris,The Goo Goo Dolls,1998-3,1284942608
The Heart Part 5,Kendrick Lamar,2022-5,71423324
San Lucas,Kevin Kaarl,2019-11,244891912
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,2022-5,132171975
Good Looking,Suki Waterhouse,2017-10,184706613
Flowers,Lauren Spencer Smith,2021-8,184826429
Yet To Come,BTS,2022-6,302006641
Run BTS,BTS,2022-6,330881149
Music For a Sushi Restaurant,Harry Styles,2022-5,334733572
Matilda,Harry Styles,2022-5,366214458
For Youth,BTS,2022-6,114546317
Daylight,Harry Styles,2022-5,290833204
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-5,448500832
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",2022-6,136676504
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",2022-5,190625045
Born Singer,BTS,2022-6,79095270
Little Freak,Harry Styles,2022-5,273194684
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",2022-5,333146475
True Love,"Kanye West, XXXTENTACION",2022-5,194902696
Satellite,Harry Styles,2022-5,311482393
Pass The Dutchie,Musical Youth,1982-1,195918494
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2022-6,248511839
Love Of My Life,Harry Styles,2022-5,233671263
Grapejuice,Harry Styles,2022-5,199587884
So Good,Halsey,2022-6,91781263
Belly Dancer,"BYOR, Imanbek",2022-2,383835984
Keep Driving,Harry Styles,2022-5,236060709
Cinema,Harry Styles,2022-5,189236868
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2022-5,160845341
Only Love Can Hurt Like This,Paloma Faith,2014-1,588955257
Hold My Hand,Lady Gaga,2022-5,238350348
Daydreaming,Harry Styles,2022-5,187703102
Numb,"Marshmello, Khalid",2022-6,295307001
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2022-6,138334433
Me and Your Mama,Childish Gambino,2016-11,445590495
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",2022-3,286739476
SLOW DANCING IN THE DARK,Joji,2018-9,1122364376
Antes de Perderte,Duki,2022-6,157136970
Boyfriends,Harry Styles,2022-5,137070925
295,Sidhu Moose Wala,2021-5,183273246
Tak Ingin Usai,Keisya Levronka,2022-5,184807630
En El Radio Un Cochinero,Victor Cibrian,2022-5,164856284
Master of Puppets (Remastered),Metallica,1986-3,704171068
BREAK MY SOUL,Beyoncï¿,2022-6,354614964
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",2022-6,279717388
Massive,Drake,2022-6,195628667
Betty (Get Money),Yung Gravy,2022-6,221752937
Ojos Marrones,Lasso,2022-2,263280370
POP!,Nayeon,2022-6,213505179
Layla,"Schï¿½ï¿½rze, DJ R",2022-3,130419412
MORE,j-hope,2022-7,155795783
Sweet Child O' Mine,Guns N' Roses,1987-1,1553497987
Last Last,Burna Boy,2022-5,293466523
SNAP,Rosa Linn,2022-3,711366595
Sticky,Drake,2022-6,191448892
