track_name,artist(s)_name,released_date (yyyy-mm),streams
Mockingbird,Eminem,2004-1,1241559043
New Jeans,NewJeans,2023-7,29562220
Primera Cita,Carin Leon,2022-4,77309611
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017-11,1605224506
Dandelions,Ruth B.,2017-4,1116995633
Bones,Imagine Dragons,2021-3,838079900
Set Fire to the Rain,Adele,2011-1,1163620694
Money Trees,"Kendrick Lamar, Jay Rock",2012-1,1093605526
Tak Segampang Itu,Anggi Marito,2022-12,179659294
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2023-6,39058561
Mine (Taylor's Version),Taylor Swift,2023-7,36912123
Everybody Wants To Rule The World,Tears For Fears,1985-2,1205951614
No Role Modelz,J. Cole,2014-12,1791000570
Tattoo,Loreen,2023-2,201660859
Rara Vez,"Taiu, Milo j",2023-2,248088961
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023-5,90839753
august,Taylor Swift,2020-7,607123776
LUNA,"Junior H, Peso Pluma",2023-6,55842345
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023-3,211050784
Nonsense,Sabrina Carpenter,2022-7,342897938
Que Vuelvas,"Carin Leon, Grupo Frontera",2022-12,2762
Por las Noches,Peso Pluma,2021-6,330346424
Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022-8,601863821
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011-8,1953533826
Watermelon Sugar,Harry Styles,2019-11,2322580122
lovely - Bonus Track,"Billie Eilish, Khalid",2017-8,2355719893
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023-6,66902503
Queencard,(G)I-DLE,2023-5,96273746
OMG,NewJeans,2023-1,430977451
Radio,Lana Del Rey,2011-1,284819874
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023-1,721975598
505,Arctic Monkeys,2007-4,1217120710
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023-6,109276132
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022-12,276259178
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023-5,54225632
Perfect,Ed Sheeran,2017-1,2559529074
Romantic Homicide,d4vd,2022-7,681583126
Believer,Imagine Dragons,2017-1,2594040133
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023-5,81102253
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023-6,11956641
Without Me,Eminem,2002-1,1687664027
QUEMA,"Sog, Ryan Castro, Peso Pluma",2023-7,11599388
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016-11,611700552
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2022-5,1133865788
Somewhere Only We Know,Keane,2004-1,1089402494
Those Eyes,New West,2019-5,411747614
El Gordo Trae El Mando,Chino Pacas,2023-1,255932395
Mi Bello Angel,Natanael Cano,2023-6,31873544
Bye,Peso Pluma,2023-5,95053634
Danza Kuduro,"Don Omar, Lucenzo",2010-1,1279434863
Nosso Quadro,"Ana Castela, AgroPlay",2023-2,233801632
Locked Out Of Heaven,Bruno Mars,2012-12,1481349984
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023-4,142095275
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022-6,618885532
Counting Stars,OneRepublic,2013-1,2011464183
Ghost,Justin Bieber,2021-3,1167330737
Under The Influence,Chris Brown,2019-10,929964809
PRC,"Natanael Cano, Peso Pluma",2023-1,436027885
Gasolina,Daddy Yankee,2004-7,657723613
One Dance,"Drake, WizKid, Kyla",2016-4,2713922350
Enchanted,Taylor Swift,2010-1,621660989
Save Your Tears,The Weeknd,2020-3,1591223784
Sure Thing,Miguel,2010-5,950906471
Every Breath You Take - Remastered 2003,The Police,1983-1,1593270737
The Night We Met,Lord Huron,2015-2,1410088830
